Chủ nghĩa xã hội khoa học x 601-A2	2022-09-08T09:00:00+07:00	2022-09-08T11:50:00+07:00
Chủ nghĩa xã hội khoa học x 601-A2	2022-09-15T09:00:00+07:00	2022-09-15T11:50:00+07:00
Chủ nghĩa xã hội khoa học x 601-A2	2022-09-22T09:00:00+07:00	2022-09-22T11:50:00+07:00
Chủ nghĩa xã hội khoa học x 601-A2	2022-09-29T09:00:00+07:00	2022-09-29T11:50:00+07:00
Chủ nghĩa xã hội khoa học x 601-A2	2022-10-06T09:00:00+07:00	2022-10-06T11:50:00+07:00
Chủ nghĩa xã hội khoa học x 601-A2	2022-10-13T09:00:00+07:00	2022-10-13T11:50:00+07:00
Chủ nghĩa xã hội khoa học x 601-A2	2022-10-20T09:00:00+07:00	2022-10-20T11:50:00+07:00
Chủ nghĩa xã hội khoa học x 601-A2	2022-10-27T09:00:00+07:00	2022-10-27T11:50:00+07:00
Chủ nghĩa xã hội khoa học x 601-A2	2022-11-03T09:00:00+07:00	2022-11-03T11:50:00+07:00
Chủ nghĩa xã hội khoa học x 601-A2	2022-11-10T09:00:00+07:00	2022-11-10T11:50:00+07:00
Chủ nghĩa xã hội khoa học x 601-A2	2022-11-17T09:00:00+07:00	2022-11-17T11:50:00+07:00
Chủ nghĩa xã hội khoa học x 601-A2	2022-11-24T09:00:00+07:00	2022-11-24T11:50:00+07:00
Chủ nghĩa xã hội khoa học x 601-A2	2022-12-01T09:00:00+07:00	2022-12-01T11:50:00+07:00
Tiếng Anh (Course 2) x 404-A2	2022-08-19T07:00:00+07:00	2022-08-19T09:50:00+07:00
Tiếng Anh (Course 2) x 404-A2	2022-08-26T07:00:00+07:00	2022-08-26T09:50:00+07:00
Tiếng Anh (Course 2) x 404-A2	2022-09-09T07:00:00+07:00	2022-09-09T09:50:00+07:00
Tiếng Anh (Course 2) x 404-A2	2022-09-16T07:00:00+07:00	2022-09-16T09:50:00+07:00
Tiếng Anh (Course 2) x 404-A2	2022-09-23T07:00:00+07:00	2022-09-23T09:50:00+07:00
Tiếng Anh (Course 2) x 404-A2	2022-09-30T07:00:00+07:00	2022-09-30T09:50:00+07:00
Tiếng Anh (Course 2) x 404-A2	2022-10-07T07:00:00+07:00	2022-10-07T09:50:00+07:00
Tiếng Anh (Course 2) x 404-A2	2022-10-14T07:00:00+07:00	2022-10-14T09:50:00+07:00
Tiếng Anh (Course 2) x 404-A2	2022-10-21T07:00:00+07:00	2022-10-21T09:50:00+07:00
Tiếng Anh (Course 2) x 404-A2	2022-10-28T07:00:00+07:00	2022-10-28T09:50:00+07:00
Tiếng Anh (Course 2) x 404-A2	2022-11-04T07:00:00+07:00	2022-11-04T09:50:00+07:00
Tiếng Anh (Course 2) x 404-A2	2022-11-11T07:00:00+07:00	2022-11-11T09:50:00+07:00
Tiếng Anh (Course 2) x 404-A2	2022-11-18T07:00:00+07:00	2022-11-18T09:50:00+07:00
Tiếng Anh (Course 2) x 404-A2	2022-11-25T07:00:00+07:00	2022-11-25T09:50:00+07:00
Tiếng Anh (Course 2) x 404-A2	2022-12-02T07:00:00+07:00	2022-12-02T09:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-08-19T09:00:00+07:00	2022-08-19T11:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-08-26T09:00:00+07:00	2022-08-26T11:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-09-09T09:00:00+07:00	2022-09-09T11:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-09-16T09:00:00+07:00	2022-09-16T11:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-09-23T09:00:00+07:00	2022-09-23T11:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-09-30T09:00:00+07:00	2022-09-30T11:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-10-07T09:00:00+07:00	2022-10-07T11:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-10-14T09:00:00+07:00	2022-10-14T11:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-10-21T09:00:00+07:00	2022-10-21T11:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-10-28T09:00:00+07:00	2022-10-28T11:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-11-04T09:00:00+07:00	2022-11-04T11:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-11-11T09:00:00+07:00	2022-11-11T11:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-11-18T09:00:00+07:00	2022-11-18T11:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-11-25T09:00:00+07:00	2022-11-25T11:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-12-02T09:00:00+07:00	2022-12-02T11:50:00+07:00
Ngôn ngữ lập trình C++ x CODE.PTIT.EDU.VN	2022-09-19T07:00:00+07:00	2022-09-19T11:50:00+07:00
Ngôn ngữ lập trình C++ x CODE.PTIT.EDU.VN	2022-10-17T07:00:00+07:00	2022-10-17T11:50:00+07:00
Ngôn ngữ lập trình C++ x CODE.PTIT.EDU.VN	2022-11-14T07:00:00+07:00	2022-11-14T11:50:00+07:00
Ngôn ngữ lập trình C++ x 201A-A3	2022-10-27T12:00:00+07:00	2022-10-27T14:50:00+07:00
Ngôn ngữ lập trình C++ x 201A-A3	2022-11-03T12:00:00+07:00	2022-11-03T14:50:00+07:00
Ngôn ngữ lập trình C++ x 201A-A3	2022-11-10T12:00:00+07:00	2022-11-10T14:50:00+07:00
Ngôn ngữ lập trình C++ x 201A-A3	2022-11-17T12:00:00+07:00	2022-11-17T14:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-10-14T12:00:00+07:00	2022-10-14T14:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-10-21T12:00:00+07:00	2022-10-21T14:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-10-28T12:00:00+07:00	2022-10-28T14:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-11-04T12:00:00+07:00	2022-11-04T14:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-11-11T12:00:00+07:00	2022-11-11T14:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-11-18T12:00:00+07:00	2022-11-18T14:50:00+07:00
Vật lý 3 và thí nghiệm x 301-A2	2022-11-25T12:00:00+07:00	2022-11-25T14:50:00+07:00
Vật lý 3 và thí nghiệm x B-A3	2022-10-16T07:00:00+07:00	2022-10-16T11:50:00+07:00
Vật lý 3 và thí nghiệm x B-A3	2022-10-23T07:00:00+07:00	2022-10-23T11:50:00+07:00
